Name,Position,Dept,Kontering HCT (),Bemnnad HCT Gru (),VT courses,Exjobb,Gru VT (),HT courses,Gru HT (),Self-development &Friskvård (),Balance (),GRU balance 19,GRU balance 20,Årsarbetstid 
Dudley Dursley,Postdoc,MID,"22,92","17,29","DH1620 mdid: 5,3%
DA232-4X exjobb: 3,%
DM128-9X mkand: 3,5%",,"11,8","DM2630 uxdesign: 5,5%","5,5",,-5.62,−1.40,-7.03,"91,67"
Marjorie (Marge) Dursley,Postdoc,MID,25,"24,22","DH2400 interakv: ,5%
DH2629 ixd-reflect: 5,%
DA232-4X exjobb: 12,6%",,"18,1","DH2400 interak: ,5%","0,5","5,63",-0.78,−21.56,-22.35,100
Petunia Dursley (née Evans),Bitr Lektor,MID,30,"29,51","*DM128-9X mkand: 9,6%
DA232-4X exjobb: 4,%",,"13,6","*DM2904-6 indmed: 8,5%
DM2799 improj: ,6%","9,1","6,75",-0.49,−18.39,-18.88,
Vernon Dursley,Doktorand,MID,0,18,"DH1620 mdid: 11,3%
DA232-4X exjobb: 4,3%",,"15,5",,0,0,18,"12,16","30,16",
Marietta Edgecombe,Doktorand,MID,0,0,,,0,,0,,0,−4.91,-4.91,
Seamus Finnigan,External,External,20,"20,84",,,0,"*DH2465 del: 14,2%
DH2655 kid: 2,2%","16,3","4,5",0.84,,"0,84",
Filius Flitwick,Professor,TMH,12,"12,27","*DT2212 musak: 7,6%
DT1175 ljud: ,4%",,8,"*DT2215 indmus: ,%
DM2350 humper: 1,6%","1,6","2,7",0.27,,"0,27",
Florean Fortescue,Professor,TMH,30,"20,04",,,0,"*DT2140 mintint: 13,3%","13,3","6,75",-9.96,,-9.96,
Cornelius Fudge,Professor,TMH,26,"26,03","*DT1175 ljud: 10,1%
DT2212 musak: ,9%
DM128-9X mkand: 2,1%",,"13,2","*DT2410 autek: 6,8%
DM1581 intromedia: ,1%
DT2215 indmus: ,%",7,"5,85",0.03,,"0,03",
Gellert Grindelwald,Lektor,TMH,14,"14,04","*DM1590 mlmed: 10,4%
DT2212 musak: ,5%",,"10,9",,0,"3,15",0.04,,"0,04",
Frank Longbottom,Professor,TMH,5,"4,95","DA232-4X exjobb: 3,8%",,"3,8",,0,"1,13",-0.05,,-0.05,
Rubeus Hagrid,Professor,TMH,8,"7,68","DA232-4X exjobb: 2,4%",,"2,4","DT2140 mintint: 3,5%","3,5","1,8",-0.32,,-0.32,
Astoria Greengrass,Lektor,TMH,1,"0,58",,,0,"DM2350 humper: ,4%","0,4","0,23",-0.42,,-0.42,
Ernie Macmillan,Professor,TMH,,"6,09","DT1175 ljud: ,4%",,"0,4","DM1135 mmss: 5,7%","5,7",0,6.09,,"6,09",
