Name,Position,Dept,Subject,Kontering HCT (%),Bemnnad HCT Gru (%),Gru HT (%),Gru VT (%),Kurs 1,,,Kurs 2,,,Kurs 3,,,Kurs 4,,,Kurs 5,,,Kurs 6,,,Kurs 7,,,VT courses + exjobb,Gru VT (%),HT courses,Gru HT (%),Self-development &Friskvård (%),Extra (%),Balance (%),Use of saved time,GRU balance 19,GRU balance 20,Cost,Script diff(h),Internal teacher cost,Self-devel cost,Self-devel percentage,Kontering Cost,Research,Comments,Årsarbetstid %
Susan Bones,Professor,MID,,52.50%,45.34%,,,,,,,,,,,,,,,,,,,,,,,,"*DM2556 intcom: 12.%
DH1609 komminf: .5%
DA232-4X exjobb: 12.%
DM128-9X mkand: 3.8%",28.20%,"*DM2575 mmproint: 3.9%
*DM2584 mmproj: 1.2%
DM2579 mep: .3%",5.40%,11.81%,,−7.16%,,23.72%,16.56%,658 173,#REF!,371 622,96 815,,430 290,15.00%,,100.00%
Terry Boot,Adjunkt,MID,,60.00%,63.08%,,,,,,,,,,,,,,,,,,,,,,,,"*DH1620 mdid: 14.9%
*DH2624 mdidcl: 3.5%
DM128-9X mkand: 4.7%",23.10%,"*DH1622 mdi-media: 15.9%
*DM2799 improj: 6.4%
DA232-4X exjobb: 4.%
DM1581 intromedia: .1%",26.40%,13.50%,,3.08%,,5.00%,8.08%,440 526,#REF!,302 762,64 800,,288 000,,,100.00%
Lavender Brown,Postdoc,MID,,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,0.00%,,,0.00%,,4.09%,4.09%,0,#REF!,0,0,,0,,,100.00%
Millicent Bulstrode,Bitr Lektor,MID,,30.00%,28.92%,,,,,,,,,,,,,,,,,,,,,,,,"*DM2720 halikt: 6.5%
DA232-4X exjobb: 5.%",11.50%,"DH2408 utvard: .7%
DM1581 intromedia: .3%
DM2573 hallutv: 7.7%
DM2799 improj: 1.9%",10.60%,6.75%,,−1.08%,,8.48%,7.40%,258 809,#REF!,163 103,38 070,,169 200,70.00%,,100.00%
Charity Burbage,Bitr Lektor,MID,,30.00%,36.45%,,,,,,,,,,,,,,,,,,,,,,,,"*DM2624 itfunk: 11.2%
*DT2213 muscom: 9.4%
DT2300 ljudintv: .4%
DA232-4X exjobb: 4.%
DM128-9X mkand: 4.7%",29.70%,,0.00%,6.75%,,6.45%,,−7.60%,−1.15%,261 562,#REF!,207 743,38 475,,171 000,70.00%,,100.00%
Frank Bryce,Lektor,MID,,43.75%,42.77%,,,,,,,,,,,,,,,,,,,,,,,,"*DH2400 interakv: 3.9%
DH2670 haptik: .4%
DA232-4X exjobb: 3.8%",8.10%,"*DM2679 improint: 9.3%
DH2400 interak: 6.1%
DM2601 mixd: 7.2%
DM2799 improj: 2.3%",24.80%,9.84%,,−0.98%,,14.53%,13.55%,425 612,#REF!,271 987,62 606,,278 250,25.00%,,87.50%
Alecto Carrow,External,External,,,1.06%,,,,,,,,,,,,,,,,,,,,,,,,DH2670 haptik: 1.1%,1.10%,,0.00%,,,,,,,6 375,#REF!,0,0,,0,,,
Amycus Carrow,Doktorand,MID,,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,0.00%,,,0.00%,,−9.03%,−9.03%,0,#REF!,0,0,,0,95.00%,,
Reginald Cattermole,Professor,MID,,10.00%,10.24%,,,,,,,,,,,,,,,,,,,,,,,,"DH1620 mdid: .5%
DM2624 itfunk: 1.1%
DA232-4X exjobb: 3.8%",5.40%,"*DH1621 mdi-intro: 4.4%
DH1622 mdi-media: .5%",4.90%,,,0.24%,,2.15%,2.38%,187 223,#REF!,125 280,0,,122 400,10.00%,,100.00%
Mary Cattermole,Lektor,MID,,25.00%,28.71%,,,,,,,,,,,,,,,,,,,,,,,,DA232-4X exjobb: 2.%,2.00%,"*DM1581 intromedia: 9.5%
*DM2500 distans: 8.6%
DM1578 proint: 2.9%",21.10%,5.63%,,3.71%,,8.70%,12.41%,224 852,#REF!,168 812,33 075,,147 000,10.00%,,
Cho Chang,Adjunkt,MID,,40.00%,31.53%,,,,,,,,,,,,,,,,,,,,,,,,"DA232-4X exjobb: 6.%
DM128-9X mkand: 3.5%",9.50%,"*DM1578 proint: 13.%
*DM2517 xmlpub: .%",13.00%,9.00%,,−8.47%,,24.58%,16.11%,359 763,#REF!,185 393,52 920,,235 200,50.00%,,
Penelope Clearwater,Lektor,MID,,77.50%,68.65%,,,,,,,,,,,,,,,,,,,,,,,,"*DM2585 aisoc: 5.8%
DM2582 mlabv: 4.1%
DM2583 bdatav: 2.%
DA232-4X exjobb: 6.3%",18.20%,"*DM2572 teori: 14.%
*Dm2712 vetmetimt2: 19.%",33.00%,17.44%,,−8.85%,,12.00%,3.15%,674 280,#REF!,390 477,99 185,,440 820,10.00%,,
Mrs. Cole,Doktorand,MID,,17.33%,23.10%,,,,,,,,,,,,,,,,,,,,,,,,DH1620 mdid: 11.3%,11.30%,"DA232-4X exjobb: 4.3%
DM2601 mixd: 7.6%",11.90%,,,5.77%,,1.99%,7.76%,,#REF!,84 273,0,,63 224,80.00%,,86.67%
Michael Corner,Bitr Lektor,MID,,30.00%,33.58%,,,,,,,,,,,,,,,,,,,,,,,,"DM1590 mlmed: 6.9%
DT2300 ljudintv: .3%
DA232-4X exjobb: 2.%",9.20%,"*DM1135 mmss: 7.6%
*DM2350 humper: 9.9%",17.60%,6.75%,,3.58%,,8.54%,12.12%,258 258,#REF!,188 985,37 989,,168 840,70.00%,,
Arabella Figg,Professor,MID,,20.00%,15.59%,,,,,,,,,,,,,,,,,,,,,,,,"*DH2632 mdisemv: 4.%
DH1620 mdid: .5%
DA232-4X exjobb: 3.8%",8.20%,"*DH2632 mdisemh: 6.6%
DH1622 mdi-media: .5%
DM1581 intromedia: .3%",7.40%,,,−4.41%,,−5.74%,−10.16%,326 356,#REF!,166 295,0,,213 360,70.00%,,
Vincent Crabbe,External,External,,,7.52%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,*DH2400 interak: 7.5%,7.50%,,,,,,,55 210,#REF!,0,0,,0,,,
Colin Creevey,External,External,,,18.37%,,,,,,,,,,,,,,,,,,,,,,,,"DH1609 komminf: 11.3%
DM2556 intcom: 6.8%",18.10%,DM1581 intromedia: .3%,0.30%,,,,,,,134 864,#REF!,0,0,,0,,,
Dennis Creevey,External,External,,,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,DH2408 utvard: .4%,0.40%,,,,,,,2 591,#REF!,0,0,,0,,,
Dirk Cresswell,External,External,,,11.41%,,,,,,,,,,,,,,,,,,,,,,,,*DM2518 mobut: 11.4%,11.40%,,0.00%,,,,,,,87 766,#REF!,0,0,,0,,,
Marcus Flint,Doktorand,MID,,0.00%,16.81%,,,,,,,,,,,,,,,,,,,,,,,,"DH2632 mdisemv: 5.5%
DA232-4X exjobb: 3.2%",8.70%,DH2632 mdisemh: 8.1%,8.10%,,,16.81%,0.00%,6.95%,23.76%,86 506,#REF!,60 089,0,,0,100.00%,,
Mundungus Fletcher,Adjunkt,MID,,40.00%,37.07%,,,,,,,,,,,,,,,,,,,,,,,,*DA232-4X exjobb: 14.3%,14.30%,"*DM2601 mixd: 13.%
DM1578 proint: .7%",13.80%,9.00%,,−2.93%,,30.22%,27.29%,353 889,#REF!,214 405,52 056,,231 360,10.00%,,
Roger Davies,Professor,MID,,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,0.00%,,,0.00%,,−3.26%,−3.26%,0,#REF!,0,0,,0,10.00%,,
Dawlish,Doktorand,MID,,20.00%,17.93%,,,,,,,,,,,,,,,,,,,,,,,,"DT2213 muscom: 4.2%
DT2300 ljudintv: 2.5%
DA232-4X exjobb: 4.3%",10.90%,"DM1581 intromedia: 1.8%
DM2350 humper: 1.7%
DT2140 mintint: 1.%",4.50%,,3%,−2.07%,,3.69%,1.62%,,#REF!,61 526,0,,68 640,80.00%,,
Fleur Delacour,Professor,MID,,66.50%,57.57%,,,,,,,,,,,,,,,,,,,,,,,,"*DM1580 video: 12.9%
*DM2582 mlabv: 7.3%
*DM2583 bdatav: 8.2%
DD2258 visintro: 2.6%
DM2585 aisoc: 4.1%
DA232-4X exjobb: 4.3%",39.40%,"DM1578 proint: 2.9%
DM1581 intromedia: .3%",3.20%,14.96%,,−8.93%,,5.79%,−3.14%,897 158,#REF!,507 805,131 969,,586 530,10.00%,,
Gabrielle Delacour,Forskare,MID,,14.58%,19.14%,,,,,,,,,,,,,,,,,,,,,,,,"*DM1588 sensmed: 12.8%
DA232-4X exjobb: 4.%",16.80%,DM2350 humper: 2.4%,2.40%,,,4.56%,,−11.36%,−6.80%,106 805,#REF!,91 648,0,,69 825,70.00%,,58.33%
Dedalus Diggle,External,External,,,1.41%,,,,,,,,,,,,,,,,,,,,,,,,DH2670 haptik: 1.4%,1.40%,,0.00%,,,,,,,9 199,#REF!,0,0,,0,,,
Justin Finch-Fletchley,Doktorand,MID,,20.00%,22.09%,,,,,,,,,,,,,,,,,,,,,,,,"DT2300 ljudintv: 4.5%
DA232-4X exjobb: 4.3%",8.70%,"DH1622 mdi-media: 6.2%
DM1579 meph: 4.1%
DM1581 intromedia: 2.1%
DT2140 mintint: 1.%",13.40%,,,2.09%,,0.44%,2.53%,,#REF!,75 808,0,,68 640,80.00%,,
Cedric Diggory,Lektor,MID,,40.00%,39.83%,,,,,,,,,,,,,,,,,,,,,,,,DM128-9X mkand: 15.2%,15.20%,"*DM2573 hallutv: 12.1%
DM2679 improint: 2.4%
DM2799 improj: 1.2%",15.70%,9.00%,,−0.17%,,−4.51%,−4.68%,349 484,#REF!,227 534,51 408,,228 480,30.00%,,
Elphias Doge,Lektor,MID,,50.00%,37.40%,,,,,,,,,,,,,,,,,,,,,,,,"DT2300 ljudintv: 1.6%
DA232-4X exjobb: 7.3%",8.90%,"*DM1579 meph: 11.6%
*DM2579 mep: 4.1%
DM2350 humper: 1.6%",17.30%,11.25%,,−12.60%,,0.37%,−12.23%,,#REF!,240 102,72 225,,321 000,50.00%,,
Antonin Dolohov,External,External,,,34.36%,,,,,,,,,,,,,,,,,,,,,,,,"*DM2562 ledh: 12.1%
*DM2563 ledprojh: 13.3%
DA232-4X exjobb: 9.%",34.40%,,0.00%,,,,,,,252 309,#REF!,0,0,,0,,,
Argus Filch,Lektor,MID,,25.00%,28.75%,,,,,,,,,,,,,,,,,,,,,,,,*DH2670 haptik: 8.4%,8.40%,"*DH2408 utvard: 13.%
DT2140 mintint: 1.7%",14.70%,5.63%,,3.75%,,−6.74%,−2.99%,327 182,#REF!,245 989,48 128,,213 900,50.00%,,
Albus Dumbledore,Postdoc,MID,,10.42%,5.82%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,DH1622 mdi-media: 5.8%,5.80%,,,−4.59%,,−8.20%,−12.79%,73 612,#REF!,26 905,0,,48 125,75.00%,,41.67%
Dudley Dursley,Postdoc,MID,,22.92%,17.29%,,,,,,,,,,,,,,,,,,,,,,,,"DH1620 mdid: 5.3%
DA232-4X exjobb: 3.%
DM128-9X mkand: 3.5%",11.80%,DM2630 uxdesign: 5.5%,5.50%,,,−5.62%,,−1.40%,−7.03%,168 256,#REF!,83 012,0,,110 000,75.00%,,91.67%
Marjorie (Marge) Dursley,Postdoc,MID,,25.00%,24.22%,,,,,,,,,,,,,,,,,,,,,,,,"DH2400 interakv: .5%
DH2629 ixd-reflect: 5.%
DA232-4X exjobb: 12.6%",18.10%,DH2400 interak: .5%,0.50%,5.63%,,−0.78%,,−21.56%,−22.35%,169 786,#REF!,107 524,24 975,,111 000,60.00%,,100.00%
Petunia Dursley (née Evans),Bitr Lektor,MID,,30.00%,29.51%,,,,,,,,,,,,,,,,,,,,,,,,"*DM128-9X mkand: 9.6%
DA232-4X exjobb: 4.%",13.60%,"*DM2904-6 indmed: 8.5%
DM2799 improj: .6%",9.10%,6.75%,,−0.49%,,−18.39%,−18.88%,253 302,#REF!,162 921,37 260,,165 600,70.00%,,
Vernon Dursley,Doktorand,MID,,0.00%,18.00%,,,,,,,,,,,,,,,,,,,,,,,,"DH1620 mdid: 11.3%
DA232-4X exjobb: 4.3%",15.50%,,0.00%,0.00%,3%,18.00%,,12.16%,30.16%,92 616,#REF!,64 333,0,,0,80.00%,,
Marietta Edgecombe,Doktorand,MID,,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,0.00%,,,0.00%,,−4.91%,−4.91%,,,0,0,,0,90.00%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Finnigan,External,External,,"20,00%","20,84%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","*DH2465 del: 14,2%
DH2655 kid: 2,2%","16,3%","4,50%",,"0,84%",,,"0,84%",201 908,#REF!,137 552,29 700,,132 000,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filius Flitwick,Professor,TMH,,"12,00%","12,27%",,,,,,,,,,,,,,,,,,,,,,,,"*DT2212 musak: 7,6%
DT1175 ljud: ,4%","8,0%","*DT2215 indmus: ,%
DM2350 humper: 1,6%","1,6%","2,70%",,"0,27%",,,"0,27%",150 977,#REF!,100 913,22 208,,98 703,,,
Florean Fortescue,Professor,TMH,,"30,00%","20,04%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","*DT2140 mintint: 13,3%","13,3%","6,75%",,"−9,96%",,,"−9,96%",404 403,#REF!,176 645,59 486,,264 384,,,
Cornelius Fudge,Professor,TMH,,"26,00%","26,03%",,,,,,,,,,,,,,,,,,,,,,,,"*DT1175 ljud: 10,1%
DT2212 musak: ,9%
DM128-9X mkand: 2,1%","13,2%","*DT2410 autek: 6,8%
DM1581 intromedia: ,1%
DT2215 indmus: ,%","7,0%","5,85%",,"0,03%",,,"0,03%",337 826,#REF!,221 083,49 693,,220 859,,,
Gellert Grindelwald,Lektor,TMH,,14%,"14,04%",,,,,,,,,,,,,,,,,,,,,,,,"*DM1590 mlmed: 10,4%
DT2212 musak: ,5%","10,9%",,"0,0%","3,15%",,"0,04%",,,"0,04%",117 437,#REF!,77 018,17 275,,76 776,,,
Frank Longbottom,Professor,TMH,,5%,"4,95%",,,,,,,,,,,,,,,,,,,,,,,,"DA232-4X exjobb: 3,8%","3,8%",,"0,0%","1,13%",,"−0,05%",,,"−0,05%",65 161,#REF!,42 161,9 585,,42 600,,,
Rubeus Hagrid,Professor,TMH,,8%,"7,68%",,,,,,,,,,,,,,,,,,,,,,,,"DA232-4X exjobb: 2,4%","2,4%","DT2140 mintint: 3,5%","3,5%","1,80%",,"−0,32%",,,"−0,32%",110 237,#REF!,69 208,16 216,,72 069,,,
Astoria Greengrass,Lektor,TMH,,1%,"0,58%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","DM2350 humper: ,4%","0,4%","0,23%",,"−0,42%",,,"−0,42%",12 993,#REF!,4 909,1 911,,8 495,,,
Ernie Macmillan,Professor,TMH,,,"6,09%",,,,,,,,,,,,,,,,,,,,,,,,"DT1175 ljud: ,4%","0,4%","DM1135 mmss: 5,7%","5,7%","0,00%",,"6,09%",,,"6,09%",51 070,#REF!,33 388,0,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merope Gaunt,Doktorand,TMH,,"1,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−1,00%",,,"−1,00%",5 181,#REF!,0,0,,3 599,,,
Morfin Gaunt,Doktorand,TMH,,"4,50%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−4,50%",,,"−4,50%",23 313,#REF!,0,0,,16 194,,,
Anthony Goldstein,Doktorand,TMH,,"3,25%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−3,25%",,,"−3,25%",16 837,#REF!,0,0,,11 695,,,
Fenrir Greyback,Doktorand,TMH,,"1,88%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−1,88%",,,"−1,88%",11 098,#REF!,0,0,,7 709,,,
Gregory Goyle,Doktorand,TMH,,"1,97%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−1,97%",,,"−1,97%",10 865,#REF!,0,0,,7 547,,,
Hermione Granger,Doktorand,TMH,,"1,80%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−1,80%",,,"−1,80%",9 928,#REF!,0,0,,6 896,,,
Griselda Marchbanks,Doktorand,TMH,,"2,00%","1,81%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","DT2140 mintint: 1,8%","1,8%",,,"−0,19%",,,"−0,19%",9 709,#REF!,6 112,0,,6 744,,,
Olympe Maxime,Doktorand,TMH,,"2,00%","1,81%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","DT2140 mintint: 1,8%","1,8%",,,"−0,19%",,,"−0,19%",,,6 112,0,,6 744,,,
Cormac McLaggen,Doktorand,TMH,,,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"0,00%",,,"0,00%",,,0,0,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,,,,,,,,,,
Lab handl Teknolog TMH,Teknolog,TMH,,"0,00%","13,18%",,,,,,,,,,,,,,,,,,,,,,,,"DT1175 ljud: 3,2%
DT2212 musak: 1,8%","4,9%","DT2140 mintint: 3,3%
DT2410 autek: 4,9%","8,2%",,,"13,18%",,,,,#REF!,35 840,0,,0,,,
Draco Malfoy,Professor,RPL,,1%,"0,35%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","DT2140 mintint: ,4%","0,4%",,,"−0,15%",,,,,,2 838,0,,,,,
Garrick Ollivander,Lektor,RPL,,1%,"1,00%",,,,,,,,,,,,,,,,,,,,,,,,"DA232-4X exjobb: 1,%","1,0%",,"0,0%",,,"0,00%",,,,,,5 814,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,,,,,,,,,,
Madam Hooch,Lektor,CST,,"6,00%","4,41%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","DM2350 humper: 3,1%","3,1%","1,35%",,"−1,59%",,,"−6,00%",62 907,#REF!,0,9 253,,41 126,,,
Mafalda Hopkirk,Lektor,CST,,"17,00%","20,22%",,,,,,,,,,,,,,,,,,,,,,,,"*DH2323 dgi: 10,4%
DA232-4X exjobb: 3,%","13,4%","DD2470 atcg: ,3%
DM2350 humper: ,7%
DM2799 improj: 1,1%
DT2140 mintint: ,9%","3,0%","3,83%",,"3,22%",,,"−17,00%",171 871,#REF!,0,25 282,,112 363,,,
Helga Hufflepuff,Adjunkt,CST,,"5,70%","5,17%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","DH2413 agi: 3,9%","3,9%","1,28%",,"−0,53%",,,"−5,70%",31 375,#REF!,0,4 615,,20 512,,,
Angelina Johnson,Lektor,CST,,"47,00%","43,33%",,,,,,,,,,,,,,,,,,,,,,,,"*DH2321 ivis: 14,2%
DA232-4X exjobb: 5,4%","19,6%","*DH2413 agi: 10,1%
DD2470 atcg: ,3%
DM2799 improj: ,7%
DT2140 mintint: 2,1%","13,2%","10,58%",,"−3,67%",,,"−47,00%",439 975,#REF!,0,64 719,,287 640,,,
Igor Karkaroff,Forskare,CST,,"40,00%","50,05%",,,,,,,,,,,,,,,,,,,,,,,,"DH1620 mdid: 5,3%
DA232-4X exjobb: 14,%","19,3%","*DH2650 spel: 9,5%
*DH2655 kid: 7,9%
DD2470 atcg: ,3%
DH2413 agi: 1,3%
DH2465 del: 1,%
DM2799 improj: ,4%
DT2140 mintint: 1,4%","21,8%","9,00%",,"10,05%",,,"−7,28%",343 368,#REF!,183 619,50 508,,224 482,,,
Bertha Jorkins,Professor,CST,,"38,00%","41,23%",,,,,,,,,,,,,,,,,,,,,,,,"*DD2258 visintro: ,3%
*DH2320 visgra: 8,3%
DA232-4X exjobb: 8,5%","17,1%","*DD2257 viz: 8,6%
*DD2470 atcg: 4,7%
DM2679 improint: 2,4%","15,6%","8,55%",,"3,23%",,,"0,38%",533 587,#REF!,352 307,78 489,,348 840,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,,,,,,,,,,
Viktor Krum,Doktorand,CST,,"17,50%","18,99%",,,,,,,,,,,,,,,,,,,,,,,,"DH2320 visgra: 9,9%
DH2323 dgi: 2,3%","12,2%","DD2257 viz: 6,8%","6,8%",,,"1,49%",,,"−17,50%",90 660,#REF!,0,0,,62 975,,,
Bellatrix Lestrange,Doktorand,CST,,"20,00%","21,97%",,,,,,,,,,,,,,,,,,,,,,,,"DH2320 visgra: 9,9%
DH2321 ivis: 5,8%
DH2323 dgi: 2,1%","17,7%","DD2257 viz: 4,2%","4,2%",,,"1,97%",,,"−20,00%",118 061,#REF!,0,0,,82 008,,,
Gilderoy Lockhart,Doktorand,CST,,2%,"2,13%",,,,,,,,,,,,,,,,,,,,,,,,"DH2323 dgi: 2,1%","2,1%",,"0,0%",,,"0,13%",,,"−2,00%",11 806,#REF!,0,0,,8 201,,,
Rodolphus Lestrange,Doktorand,CST,,"8,50%","10,77%",,,,,,,,,,,,,,,,,,,,,,,,"DH2323 dgi: 6,5%","6,5%","DH2650 spel: ,9%
DM2350 humper: 3,3%","4,3%",,,"2,27%",,,"21,61%",50 176,#REF!,123 446,0,,34 853,,,
Lab handl Teknolog CST,Teknolog,CST,,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"0,00%",,,"0,00%",,#REF!,0,0,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
Neville Longbottom,Lektor,COS,,"14,00%","14,18%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%","*IC2005 ixd-IC: 11,%","11,0%","3,15%",,"0,18%",,,"−14,00%",140 755,#REF!,0,20 705,,92 020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
Remus Lupin,Lektor,SCS,,25%,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,"0,0%",,"0,0%",,,"−25,00%",,,"−25,00%",208 754,#REF!,,0,,136 476,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,,"0,00%",,,,,,,,,
